date,entropy,entropy_norm,top1
2021-01-04,2.495841956138611,0.9994567123789564,0.09312627196311951
2021-01-05,2.493714327812195,0.9986240518134701,0.09762978181242943
2021-01-06,2.490578374862671,0.9974217673242884,0.0985886301100254
2021-01-07,2.4918577527999877,0.9979159015741074,0.09866947516798973
2021-01-08,2.4927597093582152,0.9982480291181466,0.10041667208075523
2021-01-11,2.4873182916641237,0.9960433370238222,0.10477962791919708
2021-01-12,2.4894886350631715,0.9969334096974667,0.09807350210845471
2021-01-13,2.485388174057007,0.9952905917901742,0.10472188293933868
2021-01-14,2.487677311897278,0.9961884059924158,0.10445033341646194
2021-01-15,2.4827482652664186,0.9943118036447416,0.10872707292437553
2021-01-19,2.4833199739456178,0.9944025574663109,0.10452197596430779
2021-01-20,2.486324543952942,0.9957520458389787,0.10537030428647995
2021-01-21,2.4823463106155397,0.9941232025499249,0.11252072274684906
2021-01-22,2.4794385290145873,0.9928744677329349,0.11572405233979226
2021-01-25,2.489039521217346,0.9968078943219811,0.10250164866447449
2021-01-26,2.482683329582214,0.9943393898670199,0.11197643235325813
2021-01-27,2.489028615951538,0.9967693203986876,0.10592553839087486
2021-01-28,2.4840618228912352,0.9948311414628777,0.10957453146576882
2021-01-29,2.4856903743743897,0.9954375280912656,0.10770371258258819
2021-02-01,2.48752046585083,0.9961090231728236,0.10424198538064956
2021-02-02,2.4193393874168394,0.9690844396141284,0.1495841124653816
2021-02-03,2.4843493461608888,0.9949169986304082,0.11057030588388443
2021-02-04,2.4128080368041993,0.9652282335500622,0.15597069755196571
2021-02-05,2.483713974952698,0.9946958092044734,0.10323385283350944
2021-02-08,2.4128457164764403,0.9664805701261483,0.1368810687959194
2021-02-09,2.4330628371238707,0.9744794467854864,0.13641142040491105
2021-02-10,2.4090258264541626,0.9618927026071081,0.1416209089756012
2021-02-11,2.29125786781311,0.9188535293401504,0.17822071850299837
2021-02-12,2.3179487657546995,0.9281622945950327,0.16559603318572044
