date,weighted_same_sector,structural_same_sector,lift
2021-01-04,0.3273246403580867,0.3108974358974359,0.016427204460650824
2021-01-05,0.3291965256644392,0.3108974358974359,0.018299089767003285
2021-01-06,0.3264671569626704,0.3108974358974359,0.01556972106523452
2021-01-07,0.3277276337473832,0.3108974358974359,0.01683019784994727
2021-01-08,0.3272285616648556,0.3108974358974359,0.016331125767419685
2021-01-11,0.33073239054075876,0.3108974358974359,0.019834954643322855
2021-01-12,0.32793760334505007,0.3108974358974359,0.017040167447614163
2021-01-13,0.32719505660678094,0.3108974358974359,0.01629762070934504
2021-01-14,0.32916918379427446,0.3108974358974359,0.018271747896838553
2021-01-15,0.32841416259563694,0.3108974358974359,0.017516726698201035
2021-01-19,0.3310822081181243,0.3108974358974359,0.020184772220688374
2021-01-20,0.32943175321377105,0.3108974358974359,0.018534317316335147
2021-01-21,0.33046633036066764,0.3108974358974359,0.019568894463231734
2021-01-22,0.33215285376778725,0.3108974358974359,0.021255417870351345
2021-01-25,0.3275664307876105,0.3108974358974359,0.016668994890174593
2021-01-26,0.32714290150596814,0.3108974358974359,0.01624546560853224
2021-01-27,0.32486551082417375,0.3108974358974359,0.01396807492673785
2021-01-28,0.32649486177477616,0.3108974358974359,0.015597425877340254
2021-01-29,0.3228393884948203,0.3108974358974359,0.011941952597384398
2021-02-01,0.3185865327857282,0.3108974358974359,0.0076890968882922794
2021-02-02,0.3271165949439666,0.3108974358974359,0.016219159046530707
2021-02-03,0.32751297168306365,0.3108974358974359,0.016615535785627744
2021-02-04,0.3283255288475081,0.3108974358974359,0.017428092950072194
2021-02-05,0.3228136857979775,0.3108974358974359,0.011916249900541576
2021-02-08,0.32524405846743976,0.3108974358974359,0.014346622570003853
2021-02-09,0.3276953576114445,0.3108974358974359,0.016797921714008623
2021-02-10,0.3443604470909184,0.3108974358974359,0.033463011193482495
2021-02-11,0.33014124308282966,0.3108974358974359,0.019243807185393758
2021-02-12,0.34695783448978756,0.3108974358974359,0.03606039859235166
2021-02-16,0.3298646434049764,0.3108974358974359,0.018967207507540496
2021-02-17,0.3357387512651977,0.3108974358974359,0.024841315367761796
2021-02-18,0.32850632551187403,0.3108974358974359,0.017608889614438128
2021-02-19,0.33520415102823403,0.3108974358974359,0.02430671513079813
2021-02-22,0.3354697425542739,0.3108974358974359,0.024572306656838017
2021-02-23,0.32607357849555074,0.3108974358974359,0.015176142598114839
2021-02-24,0.34063528308416696,0.3108974358974359,0.02973784718673106
2021-02-25,0.3246619434693015,0.3108974358974359,0.013764507571865592
2021-02-26,0.33208093874382594,0.3108974358974359,0.021183502846390034
2021-03-01,0.33331778270890433,0.3108974358974359,0.022420346811468428
2021-03-02,0.3337893067240744,0.3108974358974359,0.022891870826638516
2021-03-03,0.33157320013305824,0.3108974358974359,0.02067576423562234
2021-03-04,0.32731112014625346,0.3108974358974359,0.01641368424881756
2021-03-05,0.33152673660043946,0.3108974358974359,0.02062930070300356
2021-03-08,0.3367418944638202,0.3108974358974359,0.025844458566384287
2021-03-09,0.33002983196663144,0.3108974358974359,0.019132396069195534
2021-03-10,0.3282007424269471,0.3108974358974359,0.017303306529511175
2021-03-11,0.32593019563860764,0.3108974358974359,0.015032759741171742
2021-03-12,0.31933407573014905,0.3108974358974359,0.008436639832713144
2021-03-15,0.32406621742898156,0.3108974358974359,0.013168781531545659
2021-03-16,0.3205403372891715,0.3108974358974359,0.00964290139173557
2021-03-17,0.32054315269340394,0.3108974358974359,0.00964571679596804
2021-03-18,0.3097899338305606,0.3108974358974359,-0.001107502066875321
2021-03-19,0.32216034302413066,0.3108974358974359,0.011262907126694754
2021-03-22,0.32447026875409657,0.3108974358974359,0.013572832856660666
2021-03-23,0.3269307706354438,0.3108974358974359,0.016033334738007887
2021-03-24,0.32577393868252413,0.3108974358974359,0.01487650278508823
2021-03-25,0.3275927861396012,0.3108974358974359,0.016695350242165286
