arm,seed,oos_ic_mean,oos_ic_ir,oos_sharpe,sharpe_value_added,consistency_passed,uniqueness_passed,robustness_passed,attention_sharpe_value_add,elapsed_seconds
static_single,0,-0.005146375381835902,-0.018035669069566513,1.0383446423588694,-2.0329028689825543,False,True,True,2.08897302716732,178.8
static_single,1,-0.0023023070614384363,-0.00828750632565996,0.6725266988125522,-2.3987208125288713,False,True,True,1.7231550836210028,180.3
static_single,2,0.0011053926521103492,0.00399390995660771,0.7494979543030907,-2.321749557038333,True,True,True,1.8001263391115412,179.7
static_single,3,0.005902321324569431,0.020732851284684807,0.8257480330532987,-2.245499478288125,True,True,True,1.8763764178617492,179.8
static_single,4,-0.0040041363079885385,-0.014690827756214114,0.36223605303278883,-2.709011458308635,False,True,True,1.4128644378412394,180.0
static_wf,0,0.019961014108613742,0.07313447529915398,1.946365490532907,-1.1248820208085164,True,True,True,2.9969938753413574,957.7
static_wf,1,0.01801053094505129,0.06559100361625878,1.8073011082897072,-1.2639464030517162,True,True,True,2.857929493098158,956.2
static_wf,2,-0.016562356675368973,-0.05769595324595298,0.12643556256435234,-2.944811948777071,False,True,True,1.1770639473728028,957.4
static_wf,3,0.0032836104738925283,0.011657266770442244,0.842288226966941,-2.2289592843744828,True,True,True,1.8929166117753915,959.3
static_wf,4,0.0030028645121414886,0.010774012915834049,1.036529535931839,-2.0347179754095848,True,True,True,2.0871579207402897,957.3
